source,year,abstract,label
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2017,"Untuk mendukung dan mensukseskan program ini, penerapan metode AHP dalam pembangunan sistem pendukung keputusan penilaian desa terbaik dalam program pemerintah daerah DMIJ ditetapkan dengan 8 kriteria, yaitu: Pendidikan, Kesehatan, Ekonomi Masyarakat, Keamanan dan Ketertiban, Partisipasi Masyarakat, Pemerintahan, Lembaga Kemasyarakatan, dan Pemberdayaan dan Kesejahteraan Keluarga (DMIJ), dengan nilai eigen 0. 245 atau 24,5%, sehingga Desa Pulau Palas dapat direkomendasikan sebagai desa terbaik. , Desa Maju Inhil Jaya ( DMI J). ( ) ( 1 ), , (H) , dan kesejahteraan keluarga (S) s ,. - (A) ); () ` (a ) yang relevansi (M) / (K).",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"Ini adalah perpustakaan yang berlokasi di Jalan Poros Benteng Utara, Sungai Batang, memberikan pelayanan kepada anggotanya dalam bentuk proses pendaftaran, peminjaman dan pengembalian buku, selain itu juga menyediakan fitur pencarian buku yang dapat diakses melalui internet sehingga akan lebih memudahkan anggota dalam mencari buku, dan sistem juga didukung oleh teknologi barcode untuk memudahkan pihak perpustakaan dalam membuat laporan yang diperlukan. - Sistem Informasi Perpustakaan, Teknologi Barcode, Database MySQL, PHP. (Teks dengan relevansi EEA), dan database MySqL, dan PHp (M) (D) s , dan - Layanan Perpustakaan, dan pembuatan Laporan (Rl) , dan pengembalian.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"(security) kriptografi, ElGamal Kriptografi, adalah salah satu dari kriptografi publik yang sangat sering digunakan untuk menyembunyikan isi pesan atau data, adalah algoritma kriptografi yang rumit untuk menghitung logaritma diskrit, dan hasil dari proses dekripsi dari ciphertext ini akan menjadi plaintext yang sama dengan teks sebelum dilakukan enkripsi. Kata Kunci : kriptografi, kriptografi, elgamal kriptografi, Privat Key, Public Key. (Teks dengan relevansi EEA) - kriptografi, public key. , - kriptografi () (Key) , ( ) ) - kunci rahasia - kriptografi yang asli. - kriptografis - kriptografi - kriptografi) - enkripsi.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"Untuk membantu pengolahan data KKU dan penelitian di Program Studi Sistem Informasi pada Universitas Islam Iran Fakultas Teknik dan Ilmu Komputer, kualitas sistem tersebut ditentukan oleh kemampuannya untuk menganalogikan sistem seperti kehidupan nyata yang didominasi oleh obyek, dan digambarkan atau dinotasikan dalam simbol-simbol yang cukup spesifik, OO memiliki proses standar dan bersifat independen, sehingga dapat mengurangi tingkat kesalahan dalam pemrosesan data akademik. , dan dapat memberikan layanan yang memuaskan bagi pengguna sistem. - Sistem Informasi, Sistem Informasi. Data (UML), dan Penelitian, (UN) (C) , dan dari sistem informasi yang bersangkutan tentang sistem informasi , dll , , yang relevansi s ( ) ` ; - pemrograman : (T).",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"TIK merupakan media yang dapat digunakan dengan lebih efisien dan lebih berguna untuk memproses dan menyelesaikan masalah yang dihadapi, selain itu, banyak faktor yang mempengaruhi pilihan yang ada, dengan berbagai kriteria pemilihan dan jumlah pembuat keputusan yang lebih dari satu merupakan bentuk penyelesaian masalah yang sangat kompleks. Harga, jaringan, baterry, fitur, size, audio, kamera, dan LCD, sangat penting untuk dipertimbangkan dalam pengambilan keputusan. Keputusan yang sulit yang dihadapi oleh konsumen tidak hanya disebabkan oleh ketidakpastian atau ketidaksempurnaan informasi, tetapi juga karena adanya kebutuhan informasi yang berkembang pesat ini, dan karenanya diperlukan. ukuran dan LCD (C) (c) , ( ) s - faktor-faktor yang relevansi (a) `. (p ) a (e) nya yang lebih banyak faktor tersebut.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2017,"(LPSI) adalah salah satu lembaga yang ada di Universitas Islam (UNISI) Tembakan, dimana pada lembaga ini bertugas untuk membina urusan agama, Sistem Informasi E-SBQ merupakan sistem berbasis web yang sangat membantu dalam penyimpanan data baik itu data mahasiswa, nilai dan lain-lain Metode pengembangan sistem yang digunakan adalah SDLC, dalam hal ini UML digunakan untuk pemodelan sistem yang telah dirancang, berdasarkan pengujian beberapa pengguna di limgungan LPSI bahwa sistem sangat memberi kemudahan dalam mengelola data LPSI dan layak untuk implementasi. - Data LPSI , dll.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"Salju Coco Mandiri Tembakan, pergerakan penjualan produk dan peramalan kebutuhan bahan baku dilakukan selama tiga bulan pengamatan, dari bulan Desember 2014 hingga Februari 2015, data pergerakan penjualan ini kemudian dihitung berdasarkan rumus EOQ, yang menunjukkan bahwa pengeluaran biaya persediaan bahan baku mengalami penurunan dari periode sebelumnya, artinya pengeluaran biaya stok bahan baku ini memiliki perbedaan yang signifikan dibandingkan dengan data yang dikeluarkan oleh perusahaan sebelum menggunakan metode EoQ. , yang berarti bahwa biaya persediaan tersebut berbeda secara signifikan dibandingkan sebelum menggunakan Metode EOq. - Data Pengelua - Perusahaan s ` `. ` untuk tujuan produksi pada saat ini.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"Di antara dua komponen utama, yaitu dosen dan mahasiswa, ada dua jenis pendidikan, yaitu formal dan non-formal, yang masing-masing memiliki kriteria tersendiri dari mata kuliah lainnya, dan merupakan salah satu bahan pertimbangan bagi mahasiswa ketika akan mengambil mata kuliah yang bersangkutan. , yaitu: minat, matakuliah, SPK, AHP, Sistem Informasi (Sistem Informasi), yang akan membantu Prodi Sistem Informasi UNISI dalam mengevaluasi mahasiswa dan dosen pengampunya, dan untuk membantu Prosiding Sistem Informasi Uni Eropa (UNISI). - (A) ` A yang relevansi di mana.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2016,"(Data mining) adalah proses yang mempekerjakan satu atau lebih teknik pembelajaran komputer (mechine learning) untuk menganalisis dan mengekstraksi pengetahuan (knowledge) secara lain, sehingga pengguna dapat memprediksi pertandingan sepak bola dengan baik, mengetahui kekuatan klub bola yang akan bertanding, dan mengetahui hasil prediksi klub bola. , yang dapat menghemat waktu untuk memprediksi pertandingan tersebut dan mengetahui skor pertandingan yang telah diprediksinya. kata kunci : Sepakbola, Data mining, Pohon keputusan (decision Tree). Keputusan yang telah ditentukan oleh mereka.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2016,"(PSK) adalah perusahaan swasta nasional yang bergerak di bidang industri pengolahan hasil perkebunan, yang didirikan pada tanggal 5 Desember 1967 dan berkantor pusat di Jakarta, dengan nilai 0. 389 atau 38,9%, sementara pemberian dan/atau penyertaan dana CSR PT. Pulau Sambu Kuala Enok masih dilakukan seleksi sederhana, yaitu hanya melihat proposal yang diajukan tanpa mempertimbangkan kemungkinan lain, sehingga penggunaan teknologi informasi dapat digunakan secara maksimal. ( 1 ) , dan ( 2 ) dari aplikasi yang diberikan oleh masyarakat. , ( 3 ), dan sebagai kriteria yang relevansi ( CSR) ( BMT), , yang bersangkutan, dll , dimana , yaitu , untuk tujuan , masing-masing- ( ). - (MPP) %, danaan, , ) dalam hal- , sebagai berikut (2 ): , dll.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"(2) Penelitian ini mengembangkan sistem pendukung keputusan (SPK) dengan menggunakan metode Analytical Hierarchy Process (AHP) sebagai proses dalam pemilihan sepeda motor. Dalam proses pemilihan ini, beberapa kriteria digunakan untuk menentukan sepeda motor yang mana yang akan dipilih, SPK ini membantu dalam menentukan pelamar mana yang harus dipilih. Metode AHP digunakan sebagai metode dalam perhitungan dalam pemilihan motor ini.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"Untuk mengimplementasikan metode Forward Chaining pada sistem pakar diagnosa stadium penyakit kaki gajah berdasarkan gejala yang diderita, maka dapat dilakukan dengan pengamatan dari gejala tersebut. Metode forward chaining merupakan metode perunutan maju dengan melakukan penelusuran fakta sehingga menghasilkan kesimpulan atau diagnosis akhir. Kata Kunci : Forward Chaining, Sistem Pakar, Gejala, Penyakit, Obat-obatan (Obat).",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"Ini adalah sistem pakar yang dirancang sebagai alat bantu untuk mendiagnosa penyakit ginjal dengan basis pengetahuan yang dinamis, pengetahuan ini disusun sedemikian rupa ke dalam database dengan beberapa tabel, termasuk tabel penyakit, tabel gejala, dan tabel aturan untuk memudahkan kinerja sistem dalam penarikan kesimpulan. Kata Kunci : Ginjal, Sistem Pakar, Metode Forward Chaining. (Teks dengan relevansi EEA), yang akan memberikan keluaran berupa hasil diagnosis penyakit ginjal berdasarkan gejala yang dirasakan oleh pasien. Hasil penelitian menunjukkan bahwa metode forward chaining sangat cocok untuk diagnosis ginjal. , yang digunakan untuk menarik kesimpulan yang akan membantu dalam mengambil kesimpulan. sa - data yang sesuai.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"PENILAIAN HASIL EVALUASI siswa SMP Negeri Satu Atap Kuala Sebatu saat ini masih belum akurat, data-data tersimpan secara terpisah dan perlu dilakukan pengumpulan data ulang, sehingga fasilitas sistem tidak efisien dan efektif. Hal ini mendorong penulis untuk menganalisis dan merancang sistem informasi evaluasi siswa agar dapat menyajikan informasi dengan lebih cepat, tepat, ekonomis, relevan dan tepat. Dengan demikian, hasil analisis dan desain ini dapat mempermudah dalam memperoleh data siswa, guru, data mata pelajaran.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2017,"( 1 ) Untuk membantu pelaksanaan Sistem Penjaminan Mutu Internal (SPMI) di suatu pendidikan dasar dan menengah, yang selanjutnya disebut sekolah model, sekolah model adalah sekolah yang ditetapkan dan dibina oleh Lembaga Penjamin Mutu Pendidikan (LPMP) untuk menjadi sekolah acuan bagi sekolah lain di sekitarnya dalam menerapkan penjaminan mutu pendidikan secara mandiri, dengan cara mencari nilai bobot dari setiap atribut, kemudian dilakukan perangkingan yang akan menentukan pilihan yang optimal, yaitu sekolah model. , Sekolah Model, untuk membantu dalam memecahkan masalah ini, untuk tujuan memastikan bahwa semua pekerjaan yang sesuai dengan cara yang relevansi dalam hal tersebut. Keputusan yang tepat waktu yang baik. ( SPMI) , untuk memfasilitasi pengambilan keputusan yang efektif, untuk mendukung keputusan yang akan membantu dalam memilih sekolah model untuk tujuan untuk membentuk model, untuk mengembangkan sekolah model , sebagai sekolah model sekolah model yang akan menjadi sekolah Model sekolah Model Sekolah Model sekolah model-sekolah model. - Sekolah Model , dan sekolah Model, sebagai model.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2017,"Ini adalah metode naïve bayes yang digunakan untuk mendiagnosa penyakit asma karena adanya gejala sesak napas, batuk, dan suara saat bernapas (mengi) yang disebabkan oleh penyempitan saluran napas, sehingga hasil akhirnya tergantung pada nilai probabilitas yang paling tinggi pada setiap data yang akan didiagnostik, sehingga manfaat dari penelitian ini adalah untuk menghasilkan diagnosis tingkat parah penyakit asma dan solusi secara cepat dan akurat. , yang merupakan manfaat dari penggunaan penelitian ini untuk membuat diagnosis asma tingkat parah dan solusi yang lebih baik dengan biaya yang lebih rendah. ukuran yang paling penting untuk tujuan dari jumlah yang paling banyak untuk tujuan yang paling akurat.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"SISTEM INFORMASI RAPORT SEMESTER SISWA BERBASIS WEB ini dibuat dengan menggunakan Macromedia Dreamweaver 8 dengan bahasa pemrograman PHP dan database MySQL untuk memberikan informasi mengenai data guru, data siswa dan data nilai semester pada raport siswa yang ada di Sekolah Menengah Kejuruan Negeri Tembilahan, diharapkan dapat mempermudah guru dalam mengelola data nilai siswa, khususnya nilai semester siswa tanpa harus terjadi kesalahan dalam pengelolaan data tersebut, sehingga tujuan dapat tercapai secara maksimal.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"( 1 ) Sistem Informasi Akuntansi, yang merupakan sistem aplikasi terkomputerisasi yang mampu melakukan pengolahan data transaksi keuangan, sistem yang dibangun dapat melakukan penjurnalan, posting jurnal, buku besar, neraca, dan laporan keuangan (Rugilaba, Perubahan Modal, Neraca, dan Arus Kas), dengan memperhatikan hasil penelitian yang dilakukan, aplikasi ini dapat membantu dalam proses pengolahan laporan keuangan, berdasarkan hasil yang diperoleh dari penelitian yang telah dilakukan, bahwa aplikasi tersebut dapat membantu untuk memproses laporan keuangan. Laporan Keuangan ( rugilaba, perubahan modal, neraca dan arus kas ) , dan Laporan Keuangan, , Aplikasi yang digunakan sebagai aplikasi yang dibuat oleh aplikasi , aplikasi ( ) - ), aplikasi yang , dll , yang akan () ) pada saat ini ).",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2016,"Untuk mendukung sistem informasi transaksi penjualan dan pembelian obat di apotek Kab. Inhil, perlu dikembangkan sistem yang lebih baik yang memungkinkan orang-orang untuk berinteraksi dan memanfaatkan sistem informasi tersebut untuk membantu mencapai tujuan, oleh karena itu peneliti menggunakan bahasa pemrograman Web PHP dan MySQL yang akan membangun basis datanya dengan menggunakan program komputer untuk memudahkan para pegawai dan instansi dalam melakukan transaksi, sehingga menghasilkan informasi yang lebih efisien dan efektif. ( 1 ) OJ L 201, 7. 2005, hal ini dapat melayani pelanggan yang lebih efektif dan layanan yang tepat waktu yang efektif. Instansi, hal-hal yang efektif, dan waktu yang efisien. masalah yang efektifitas yang relevansi yang efisien, dan membantu pencapaian tujuan yang efektif dari mereka sendiri, untuk tujuan yang efisien , dan efisiensi, sebagai berikut s , , pada saat ini , dll , 3 , yang diperlukan.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"Dibutuhkan alat bantu bagi masyarakat pengguna untuk mendiagnosis penyakit THT (Telinga Hidung Tenggorokan) pada manusia, sistem certainty factor adalah suatu metode untuk membuktikan apakah suatu fakta itu pasti atau tidak pasti. Hasil penelitian menunjukkan bahwa faktor kepastian dapat digunakan sebagai cara untuk mengatasi ketidakpastian untuk diagnosis awal penyakit THTA (Telinga hidung tenggorokan). `` Penelitian ini bertujuan untuk mengimplementasikan Metode Certainty Factor pada sistem diagnosa THT, yang merupakan cara untuk menghindari ketidakpastian. ` ` untuk untuk mengatasi ketidak pasti.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,", Memindahkan keahlian seseorang ke dalam program, menciptakan alat bantu kerja dan praktikum reparasi televisi berwarna bagi siswa jurusan audio video. Tujuan dari penelitian ini adalah untuk menciptakan suatu reperensi atau panduan untuk memperbaiki televisi berwarna, membuat program yang dapat membantu memecahkan masalah kerusakan pada televisi berwarna tersebut, sehingga perlu adanya solusi untuk mengatasi masalah kerusakan yang terjadi pada televisi warna tersebut, Manfaat dari studi ini adalah , Tersedianya Reperensi dan Panduan untuk Reparasi Televisi Berwarna, Mempercepat waktu diagnosis kerusakan yang akan terjadi, Tujuan dari Penelitian ini adalah.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"SISTEM INFORMASI PILKADA, Bagan Arus Dokumen, Diagram Konteks, Data Flow Diagram, Aplikasi Rekapitulasi Perolehan Suara ini merupakan solusi yang tepat untuk mengatasi kendala yang menjadi masalah dalam proses pelaporan hasil perolehan suara, oleh karena itu perlu diterapkan sistem informasi secara terprogram untuk membantu pihak KPU Kabupaten Inhil dalam hal layanan operasional, dengan tujuan untuk memberikan bantuan kepada pihak KPU kabupaten inhil dalam masalah layanan operasional. , untuk itu perlu dibuat aplikasi ini sebagai solusi yang memadai.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2013,"( 1 ) Penelitian ini bertujuan untuk memberikan aplikasi sistem yang dapat digunakan dengan mudah, karena data dan informasi yang tersedia masih manual (Microsoft Office), seperti: data anak, data donatur, data transaksi dan data anak yatim yang kurang terkondisikan, karena informasi anak yatim menyebar dan tidak dapat dilihat pada waktu itu juga, sehingga data anak yang dihasilkan dan informasi anak yang diproduksi tidak lengkap. , dengan demikian tujuan dari sistem informasi ini adalah untuk menyediakan aplikasi sistem informasi yang dapat diakses dengan mudah. dan untuk meningkatkan efektivitas dan efisiensi kerja. untuk tujuan untuk tujuan dari data yang diperlukan untuk tujuan tersebut harus dibuat oleh sistem informasi terkait dengan maksud dari mereka. - data yang relevansi ( ) dalam hal-data yang diperlukan. ` `; di atas dasar tentang data yang sesuai dengan cara yang diperlukan.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"( 1 ) Penelitian ini bertujuan untuk mengembangkan sistem informasi manajemen hutan rakyat atau Synthesis Devlopment Life Cycle (SDLC) prototipe (prototyping model), SDLC dengan model prototipe digunakan karena model ini menyederhanakan dan mempercepat langkah-langkah siklus hidup pengembangan sistem. Sistem informasi yang dikaji dalam penelitian ini menggunakan Web yang dikembangkan dengan Php Mysql. Hasil penelitian ini adalah potensi hutan rakyat untuk memenuhi kebutuhan penyampaian informasi hutan rakyat melalui sistem informasi pengelolaan hutan dengan web. , dan grafik total perusahaan per tahun, dan peta , yang relevansimetric , , di manageografi, dan potensi hutan Rakyat Hutan Rakyat Potensi Hutan Rakyat , dll.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"(2) Penelitian ini menggunakan metode pengembangan sistem yang terdiri dari kebijakan dan desain sistem, analisis sistem, desain (perancangan) sistem secara umum, desain pemrograman sistem secara terinci, seleksi sistem, implementasi (penerapan) sistem dan perawatan sistem, dimana sistem ini dapat lebih mudah diterapkan serta membantu bagian penggajian guru, data Guru, data aktifitas guru. , dan aplikasi yang digunakan untuk mengembangkan sistem informasi gaji di MT Ja. 3 ) , dengan metode yang digunakan oleh aplikasi.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,": pemasaran buku, buku, website, macromedia, mysql. Perkembangan teknologi saat ini mendorong banyak pihak untuk meningkatkan sistem yang ada pada instansi mereka, tidak seperti sistem pemasaran toko buku manual, vacuum dan hanya menunggu pelanggan, karena sekarang sistem pemasaran sudah bersifat global. Dari masalah ini, sistem berbasis web yang akan dibangun diharapkan dapat membantu proses pemasaran berbasis global.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2014,"( 1 ) Penelitian ini dilakukan dengan metode forward chaining, metode perunutan maju dengan melakukan penelusuran fakta sehingga menghasilkan kesimpulan, sistem pakar dengan metode Forward Chaining cocok untuk menentukan sanksi tilang lalu lintas angkutan jalan (LLAJ) berdasarkan pelanggaran yang dilakukan oleh pengemudi, karena sistem pakar tersebut mampu menentukan sanksi yang harus diterima oleh pengemudi tersebut. - Hasil penelitian menunjukkan bahwa Sistem Pakar, Pelanggaran, Sangsi Tilang Lalu Lintas Angkutan Jalan Berdasarkan Pelanggaran yang Dilakukan oleh Pengemudi.",ai
Sistemasi (Sistem Informasi) UNISI (IndoT5 Parafrase),2015,"Di daerah Inhil, pemilihan wisma-wisma yang berkualitas bukanlah hal yang mudah, karena konsep matematika yang mendasari penalaran fuzzy sangat sederhana dan mudah dipahami, sedangkan logika fuzzy merupakan generalisasi dari logika klasik (Crisp Set) yang hanya memiliki dua nilai keanggotaan, yaitu 0 dan 1. Berdasarkan hal tersebut di atas, proses pemilihan wisma terbaik ini tidak mudah, hanya ada dua kriteria yang terukur yang digunakan untuk menentukan wisma mana yang akan menjadi wisma terbaik. - , dengan demikian dapat digunakan untuk menggambarkan suatu masalah yang matematis. , dan tidak adanya kriteria yang menentukan wisma itu sendiri.",ai
